early_signal_rank,ticker,name,index,sector,early_signal_score,ema_score,ema_state,macd_score,macd_state,cat_score,prism_score,overheat_penalty,technical_coverage,source_data,signal,risk
1,ONL,ORION PROPERTIES INC,RUSSELL2000,Real Estate,81.96,100.0,fresh_bullish_cross,88.8,fresh_above_zero_cross_proxy,74.61,49.17,0.0,2,raw market data; independent of Prism ranking order,EMA: fresh_bullish_cross; MACD: fresh_above_zero_cross_proxy,MACD snapshot proxy; double-cross history unavailable
940,DGICA,DONEGAL GROUP INC CLASS A,NASDAQ+RUSSELL2000,Financials,53.1,72.0,confirmed_bullish_trend,59.55,bullish_above_signal_proxy,73.41,48.93,12.75,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,EMA extension 2.7 ATR; MACD setup extended; MACD snapshot proxy; double-cross history unavailable
941,FMAO,FARMERS AND MERCHANTS BANCORP INC,NASDAQ+RUSSELL2000,Financials,53.09,72.0,confirmed_bullish_trend,59.55,bullish_above_signal_proxy,71.24,48.5,12.04,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,EMA extension 2.5 ATR; MACD setup extended; MACD snapshot proxy; double-cross history unavailable
942,PRVA,PRIVIA HEALTH GROUP INC,NASDAQ+RUSSELL2000,Health Care,53.08,72.0,confirmed_bullish_trend,59.55,bullish_above_signal_proxy,76.77,50.6,14.02,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,EMA extension 3.0 ATR; MACD setup extended; MACD snapshot proxy; double-cross history unavailable
943,CSTL,CASTLE BIOSCIENCES INC,NASDAQ+RUSSELL2000,Health Care,53.07,82.0,early_transition,59.55,bullish_above_signal_proxy,64.09,48.07,12.85,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,EMA extension 2.7 ATR; MACD setup extended; MACD snapshot proxy; double-cross history unavailable
944,SIG,SIGNET JEWELERS LTD,RUSSELL2000,Consumer Discretionary,53.07,82.0,early_transition,25.0,bearish_proxy,51.77,44.6,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bearish_proxy,MACD snapshot proxy; double-cross history unavailable
945,SRCE,1ST SOURCE CORP,NASDAQ+RUSSELL2000,Financials,53.05,72.0,confirmed_bullish_trend,59.55,bullish_above_signal_proxy,68.65,47.98,11.23,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,EMA extension 2.3 ATR; MACD setup extended; MACD snapshot proxy; double-cross history unavailable
946,AEVA,AEVA TECHNOLOGIES INC,NASDAQ+RUSSELL2000,Information Technology,53.04,100.0,fresh_bullish_cross,26.35,bearish_proxy,34.28,41.11,0.0,2,raw market data; independent of Prism ranking order,EMA: fresh_bullish_cross; MACD: bearish_proxy,MACD snapshot proxy; double-cross history unavailable
947,AMAL,AMALGAMATED FINANCIAL CORP,NASDAQ+RUSSELL2000,Financials,53.04,72.0,confirmed_bullish_trend,59.55,bullish_above_signal_proxy,72.08,48.67,12.37,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,EMA extension 2.6 ATR; MACD setup extended; MACD snapshot proxy; double-cross history unavailable
948,ANAB,ANAPTYSBIO INC,NASDAQ+RUSSELL2000,Health Care,53.04,72.0,confirmed_bullish_trend,59.55,bullish_above_signal_proxy,68.67,48.98,11.4,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,EMA extension 2.3 ATR; MACD setup extended; MACD snapshot proxy; double-cross history unavailable
949,HNVR,HANOVER BANCORP INC,NASDAQ+RUSSELL2000,Financials,53.03,72.0,confirmed_bullish_trend,25.0,bearish_proxy,60.73,46.4,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bearish_proxy,MACD snapshot proxy; double-cross history unavailable
950,ELMD,ELECTROMED INC,RUSSELL2000,Health Care,53.02,72.0,confirmed_bullish_trend,59.55,bullish_above_signal_proxy,67.62,48.77,11.07,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,EMA extension 2.3 ATR; MACD setup extended; MACD snapshot proxy; double-cross history unavailable
951,FTDR,FRONTDOOR INC,NASDAQ+RUSSELL2000,Consumer Discretionary,53.01,72.0,confirmed_bullish_trend,59.55,bullish_above_signal_proxy,80.91,50.43,15.31,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,EMA extension 3.3 ATR; MACD setup extended; MACD snapshot proxy; double-cross history unavailable
952,TMP,TOMPKINS FINANCIAL CORP,RUSSELL2000,Financials,53.0,72.0,confirmed_bullish_trend,59.55,bullish_above_signal_proxy,67.23,47.7,10.81,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,EMA extension 2.2 ATR; MACD setup extended; MACD snapshot proxy; double-cross history unavailable
953,LIVN,LIVANOVA PLC,NASDAQ+RUSSELL2000,Health Care,52.99,72.0,confirmed_bullish_trend,59.55,bullish_above_signal_proxy,68.29,48.91,11.32,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,EMA extension 2.3 ATR; MACD setup extended; MACD snapshot proxy; double-cross history unavailable
954,ANGO,ANGIODYNAMICS INC,NASDAQ+RUSSELL2000,Health Care,52.98,72.0,confirmed_bullish_trend,59.55,bullish_above_signal_proxy,65.74,48.4,10.49,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,EMA extension 2.1 ATR; MACD setup extended; MACD snapshot proxy; double-cross history unavailable
955,KFRC,KFORCE INC,RUSSELL2000,Industrials,52.98,72.0,confirmed_bullish_trend,25.0,bearish_proxy,60.58,46.37,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bearish_proxy,MACD snapshot proxy; double-cross history unavailable
956,DJCO,DAILY JOURNAL CORP,NASDAQ+RUSSELL2000,Information Technology,52.96,75.0,confirmed_bullish_trend,59.55,bullish_above_signal_proxy,66.23,47.5,11.42,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,EMA extension 2.4 ATR; MACD setup extended; MACD snapshot proxy; double-cross history unavailable
957,ROCK,GIBRALTAR INDUSTRIES INC,NASDAQ+RUSSELL2000,Industrials,52.96,72.0,confirmed_bullish_trend,59.55,bullish_above_signal_proxy,67.62,47.77,10.98,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,EMA extension 2.2 ATR; MACD setup extended; MACD snapshot proxy; double-cross history unavailable
958,ACNB,ACNB CORP,NASDAQ+RUSSELL2000,Financials,52.95,72.0,confirmed_bullish_trend,59.55,bullish_above_signal_proxy,70.43,48.34,11.92,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,EMA extension 2.5 ATR; MACD setup extended; MACD snapshot proxy; double-cross history unavailable
959,WASH,WASHINGTON TRUST BANCORP INC,NASDAQ+RUSSELL2000,Financials,52.93,72.0,confirmed_bullish_trend,59.55,bullish_above_signal_proxy,67.0,47.65,10.81,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,EMA extension 2.2 ATR; MACD setup extended; MACD snapshot proxy; double-cross history unavailable
960,CCBG,CAPITAL CITY BANK INC,NASDAQ+RUSSELL2000,Financials,52.92,72.0,confirmed_bullish_trend,59.55,bullish_above_signal_proxy,65.3,47.31,10.26,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,EMA extension 2.1 ATR; MACD setup extended; MACD snapshot proxy; double-cross history unavailable
961,GVA,GRANITE CONSTRUCTION INC,RUSSELL2000,Industrials,52.92,72.0,confirmed_bullish_trend,59.55,bullish_above_signal_proxy,74.91,49.23,13.43,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,EMA extension 2.9 ATR; MACD setup extended; MACD snapshot proxy; double-cross history unavailable
962,VIR,VIR BIOTECHNOLOGY INC,NASDAQ+RUSSELL2000,Health Care,52.91,72.0,confirmed_bullish_trend,59.55,bullish_above_signal_proxy,65.38,48.33,10.44,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,EMA extension 2.1 ATR; MACD setup extended; MACD snapshot proxy; double-cross history unavailable
963,DIN,DINE BRANDS GLOBAL INC,RUSSELL2000,Consumer Discretionary,52.89,72.0,confirmed_bullish_trend,59.55,bullish_above_signal_proxy,69.4,48.13,11.64,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,EMA extension 2.4 ATR; MACD setup extended; MACD snapshot proxy; double-cross history unavailable
964,VAC,MARRIOTT VACATIONS WORLDWIDE CORP,RUSSELL2000,Consumer Discretionary,52.87,72.0,confirmed_bullish_trend,59.55,bullish_above_signal_proxy,74.84,49.22,13.45,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,EMA extension 2.9 ATR; MACD setup extended; MACD snapshot proxy; double-cross history unavailable
965,MAC,MACERICH REIT,RUSSELL2000,Real Estate,52.86,72.0,confirmed_bullish_trend,59.55,bullish_above_signal_proxy,70.02,48.25,11.87,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,EMA extension 2.5 ATR; MACD setup extended; MACD snapshot proxy; double-cross history unavailable
966,FBNC,FIRST BANCORP,NASDAQ+RUSSELL2000,Financials,52.85,72.0,confirmed_bullish_trend,59.55,bullish_above_signal_proxy,68.04,47.86,11.23,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,EMA extension 2.3 ATR; MACD setup extended; MACD snapshot proxy; double-cross history unavailable
967,FRME,FIRST MERCHANTS CORP,NASDAQ+RUSSELL2000,Financials,52.85,72.0,confirmed_bullish_trend,59.55,bullish_above_signal_proxy,65.43,47.34,10.37,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,EMA extension 2.1 ATR; MACD setup extended; MACD snapshot proxy; double-cross history unavailable
968,SHBI,SHORE BANCSHARES INC,NASDAQ+RUSSELL2000,Financials,52.82,72.0,confirmed_bullish_trend,59.55,bullish_above_signal_proxy,68.94,48.04,11.55,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,EMA extension 2.4 ATR; MACD setup extended; MACD snapshot proxy; double-cross history unavailable
969,FLYW,FLYWIRE CORP,NASDAQ+RUSSELL2000,Financials,52.81,72.0,confirmed_bullish_trend,59.55,bullish_above_signal_proxy,68.0,47.85,11.26,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,EMA extension 2.3 ATR; MACD setup extended; MACD snapshot proxy; double-cross history unavailable
970,NRIM,NORTHRIM BANCORP INC,NASDAQ+RUSSELL2000,Financials,52.81,72.0,confirmed_bullish_trend,59.55,bullish_above_signal_proxy,74.78,49.21,13.5,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,EMA extension 2.9 ATR; MACD setup extended; MACD snapshot proxy; double-cross history unavailable
971,ITIC,INVESTORS TITLE,NASDAQ+RUSSELL2000,Financials,52.78,75.0,confirmed_bullish_trend,59.55,bullish_above_signal_proxy,79.5,50.15,15.98,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,EMA extension 3.5 ATR; MACD setup extended; MACD snapshot proxy; double-cross history unavailable
972,GBCI,GLACIER BANCORP INC,RUSSELL2000,Financials,52.77,72.0,confirmed_bullish_trend,59.55,bullish_above_signal_proxy,68.03,47.86,11.31,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,EMA extension 2.3 ATR; MACD setup extended; MACD snapshot proxy; double-cross history unavailable
973,NSP,INSPERITY INC,RUSSELL2000,Industrials,52.77,72.0,confirmed_bullish_trend,59.55,bullish_above_signal_proxy,70.67,48.38,12.18,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,EMA extension 2.5 ATR; MACD setup extended; MACD snapshot proxy; double-cross history unavailable
974,WRLD,WORLD ACCEPTANCE CORP,NASDAQ+RUSSELL2000,Financials,52.75,72.0,confirmed_bullish_trend,59.55,bullish_above_signal_proxy,94.32,53.11,20.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,EMA extension 5.1 ATR; MACD setup extended; MACD snapshot proxy; double-cross history unavailable
975,UE,URBAN EDGE PROPERTIES,RUSSELL2000,Real Estate,52.75,72.0,confirmed_bullish_trend,25.0,bearish_proxy,59.9,46.23,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bearish_proxy,MACD snapshot proxy; double-cross history unavailable
976,EFSC,ENTERPRISE FINANCIAL SERVICES CORP,NASDAQ+RUSSELL2000,Financials,52.72,72.0,confirmed_bullish_trend,59.55,bullish_above_signal_proxy,66.46,47.54,10.84,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,EMA extension 2.2 ATR; MACD setup extended; MACD snapshot proxy; double-cross history unavailable
977,TVTX,TRAVERE THERAPEUTICS INC,NASDAQ+NASDAQ500+RUSSELL2000,Health Care,52.72,72.0,confirmed_bullish_trend,59.55,bullish_above_signal_proxy,76.58,50.57,14.32,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,EMA extension 3.1 ATR; MACD setup extended; MACD snapshot proxy; double-cross history unavailable
978,ONB,OLD NATIONAL BANCORP,NASDAQ+NASDAQ500+RUSSELL2000,Financials,52.69,72.0,confirmed_bullish_trend,59.55,bullish_above_signal_proxy,64.59,47.17,10.24,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,EMA extension 2.1 ATR; MACD setup extended; MACD snapshot proxy; double-cross history unavailable
979,CBNK,CAPITAL BANCORP INC,NASDAQ+RUSSELL2000,Financials,52.68,72.0,confirmed_bullish_trend,59.55,bullish_above_signal_proxy,65.05,47.26,10.42,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,EMA extension 2.1 ATR; MACD setup extended; MACD snapshot proxy; double-cross history unavailable
980,CTBI,COMMUNITY TRUST BANCORP INC,NASDAQ+RUSSELL2000,Financials,52.68,72.0,confirmed_bullish_trend,59.55,bullish_above_signal_proxy,66.97,47.64,11.05,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,EMA extension 2.3 ATR; MACD setup extended; MACD snapshot proxy; double-cross history unavailable
981,PLOW,DOUGLAS DYNAMICS INC,RUSSELL2000,Industrials,52.68,72.0,confirmed_bullish_trend,59.55,bullish_above_signal_proxy,83.25,50.9,16.42,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,EMA extension 3.6 ATR; MACD setup extended; MACD snapshot proxy; double-cross history unavailable
982,GTX,GARRETT MOTION,NASDAQ+NASDAQ500+RUSSELL2000,Consumer Discretionary,52.67,72.0,confirmed_bullish_trend,25.0,bearish_proxy,59.65,46.18,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bearish_proxy,MACD snapshot proxy; double-cross history unavailable
983,SLS,SELLAS LIFE SCIENCES GROUP INC,NASDAQ+NASDAQ500+RUSSELL2000,Health Care,52.67,75.0,confirmed_bullish_trend,59.55,bullish_above_signal_proxy,100.0,55.25,23.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,EMA extension 6.2 ATR; MACD setup extended; event-level volume; MACD snapshot proxy; double-cross history unavailable
984,WDFC,WD-40,NASDAQ+RUSSELL2000,Consumer Staples,52.67,72.0,confirmed_bullish_trend,59.55,bullish_above_signal_proxy,77.41,50.73,14.65,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,EMA extension 3.2 ATR; MACD setup extended; MACD snapshot proxy; double-cross history unavailable
985,PEB,PEBBLEBROOK HOTEL TRUST REIT,RUSSELL2000,Real Estate,52.67,72.0,confirmed_bullish_trend,59.55,bullish_above_signal_proxy,80.24,50.3,15.44,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,EMA extension 3.4 ATR; MACD setup extended; MACD snapshot proxy; double-cross history unavailable
986,FSBC,FIVE STAR BANCORP,NASDAQ+RUSSELL2000,Financials,52.66,72.0,confirmed_bullish_trend,59.55,bullish_above_signal_proxy,74.16,49.08,13.44,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,EMA extension 2.9 ATR; MACD setup extended; MACD snapshot proxy; double-cross history unavailable
987,FA,FIRST ADVANTAGE CORP,NASDAQ+RUSSELL2000,Industrials,52.65,72.0,confirmed_bullish_trend,59.55,bullish_above_signal_proxy,70.02,48.25,12.08,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,EMA extension 2.5 ATR; MACD setup extended; MACD snapshot proxy; double-cross history unavailable
988,TRST,TRUSTCO BANK CORP,NASDAQ+RUSSELL2000,Financials,52.65,72.0,confirmed_bullish_trend,25.0,bearish_proxy,59.57,46.16,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bearish_proxy,MACD snapshot proxy; double-cross history unavailable
989,ACLS,AXCELIS TECHNOLOGIES INC,NASDAQ+NASDAQ500+RUSSELL2000,Information Technology,52.63,72.0,confirmed_bullish_trend,25.0,bearish_proxy,59.53,46.16,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bearish_proxy,MACD snapshot proxy; double-cross history unavailable
990,CNO,CNO FINANCIAL GROUP INC,RUSSELL2000,Financials,52.63,72.0,confirmed_bullish_trend,59.55,bullish_above_signal_proxy,69.98,48.25,12.09,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,EMA extension 2.5 ATR; MACD setup extended; MACD snapshot proxy; double-cross history unavailable
991,ELA,ENVELA CORP,RUSSELL2000,Consumer Discretionary,52.63,72.0,confirmed_bullish_trend,25.0,bearish_proxy,59.53,46.16,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bearish_proxy,MACD snapshot proxy; double-cross history unavailable
992,HVT,HAVERTY FURNITURE COMPANIES INC,RUSSELL2000,Consumer Discretionary,52.63,72.0,confirmed_bullish_trend,59.55,bullish_above_signal_proxy,64.37,47.12,10.24,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,EMA extension 2.1 ATR; MACD setup extended; MACD snapshot proxy; double-cross history unavailable
993,DCO,DUCOMMUN INC,RUSSELL2000,Industrials,52.61,72.0,confirmed_bullish_trend,59.55,bullish_above_signal_proxy,79.88,50.23,15.38,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,EMA extension 3.3 ATR; MACD setup extended; MACD snapshot proxy; double-cross history unavailable
994,KNF,KNIFE RIVER CORP,RUSSELL2000,Materials,52.61,35.0,mixed_sideways,61.8,bullish_above_signal_proxy,65.22,47.29,0.0,2,raw market data; independent of Prism ranking order,EMA: mixed_sideways; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
995,LEG,LEGGETT & PLATT INC,RUSSELL2000,Consumer Discretionary,52.6,72.0,confirmed_bullish_trend,59.55,bullish_above_signal_proxy,66.48,47.55,10.96,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,EMA extension 2.2 ATR; MACD setup extended; MACD snapshot proxy; double-cross history unavailable
996,SMBC,SOUTHERN MISSOURI BANCORP INC,NASDAQ+RUSSELL2000,Financials,52.57,72.0,confirmed_bullish_trend,59.55,bullish_above_signal_proxy,67.73,47.8,11.41,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,EMA extension 2.4 ATR; MACD setup extended; MACD snapshot proxy; double-cross history unavailable
997,MHO,M I HOMES INC,RUSSELL2000,Consumer Discretionary,52.56,72.0,confirmed_bullish_trend,59.55,bullish_above_signal_proxy,81.19,50.49,15.86,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,EMA extension 3.5 ATR; MACD setup extended; MACD snapshot proxy; double-cross history unavailable
998,SGHC,SUPER GROUP LTD,RUSSELL2000,Consumer Discretionary,52.56,72.0,confirmed_bullish_trend,25.0,bearish_proxy,59.3,46.11,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bearish_proxy,MACD snapshot proxy; double-cross history unavailable
999,KALU,KAISER ALUMINIUM CORP,NASDAQ+RUSSELL2000,Materials,52.55,72.0,confirmed_bullish_trend,25.0,bearish_proxy,59.28,46.11,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bearish_proxy,MACD snapshot proxy; double-cross history unavailable
1000,PFIS,PEOPLES FINANCIAL SERVICES CORP,NASDAQ+RUSSELL2000,Financials,52.53,72.0,confirmed_bullish_trend,59.55,bullish_above_signal_proxy,66.61,47.57,11.08,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,EMA extension 2.3 ATR; MACD setup extended; MACD snapshot proxy; double-cross history unavailable
1001,BOW,BOWHEAD SPECIALTY HOLDINGS INC,RUSSELL2000,Financials,52.53,72.0,confirmed_bullish_trend,59.55,bullish_above_signal_proxy,67.3,47.71,11.31,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,EMA extension 2.3 ATR; MACD setup extended; MACD snapshot proxy; double-cross history unavailable
1002,PAY,PAYMENTUS HOLDINGS INC CLASS A,RUSSELL2000,Financials,52.5,35.0,mixed_sideways,49.8,bullish_below_zero_proxy,73.99,49.05,0.0,2,raw market data; independent of Prism ranking order,EMA: mixed_sideways; MACD: bullish_below_zero_proxy,MACD snapshot proxy; double-cross history unavailable
1003,TCMD,TACTILE SYSTEMS TECHNOLOGY INC,NASDAQ+RUSSELL2000,Health Care,52.49,72.0,confirmed_bullish_trend,59.55,bullish_above_signal_proxy,74.66,50.18,13.93,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,EMA extension 3.0 ATR; MACD setup extended; MACD snapshot proxy; double-cross history unavailable
1004,CATY,CATHAY GENERAL BANCORP,NASDAQ+RUSSELL2000,Financials,52.48,72.0,confirmed_bullish_trend,59.55,bullish_above_signal_proxy,64.03,47.06,10.27,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,EMA extension 2.1 ATR; MACD setup extended; MACD snapshot proxy; double-cross history unavailable
1005,GENI,GENIUS SPORTS LTD,RUSSELL2000,Consumer Discretionary,52.47,72.0,confirmed_bullish_trend,25.0,bearish_proxy,59.05,46.06,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bearish_proxy,MACD snapshot proxy; double-cross history unavailable
1006,VCYT,VERACYTE INC,NASDAQ+NASDAQ500+RUSSELL2000,Health Care,52.43,72.0,confirmed_bullish_trend,59.55,bullish_above_signal_proxy,84.26,52.1,17.15,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,EMA extension 3.8 ATR; MACD setup extended; MACD snapshot proxy; double-cross history unavailable
1007,WERN,WERNER ENTERPRISES INC,NASDAQ+RUSSELL2000,Industrials,52.43,72.0,confirmed_bullish_trend,25.0,bearish_proxy,58.91,46.03,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bearish_proxy,MACD snapshot proxy; double-cross history unavailable
1008,IIPR,INNOVATIVE INDUSTRIAL PROPERTIES I,RUSSELL2000,Real Estate,52.4,75.0,confirmed_bullish_trend,60.9,bullish_above_signal_proxy,62.3,46.71,11.02,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,EMA extension 2.3 ATR; MACD setup extended; MACD snapshot proxy; double-cross history unavailable
1009,ACAD,ACADIA PHARMACEUTICALS INC,NASDAQ+RUSSELL2000,Health Care,52.39,72.0,confirmed_bullish_trend,59.55,bullish_above_signal_proxy,74.76,50.2,14.05,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,EMA extension 3.0 ATR; MACD setup extended; MACD snapshot proxy; double-cross history unavailable
1010,BOBS,BOBS DISCOUNT FURNITURE INC,RUSSELL2000,Consumer Discretionary,52.39,72.0,confirmed_bullish_trend,59.55,bullish_above_signal_proxy,73.3,48.91,13.42,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,EMA extension 2.9 ATR; MACD setup extended; MACD snapshot proxy; double-cross history unavailable
1011,SKT,TANGER INC,RUSSELL2000,Real Estate,52.39,35.0,mixed_sideways,61.8,bullish_above_signal_proxy,64.55,47.16,0.0,2,raw market data; independent of Prism ranking order,EMA: mixed_sideways; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
1012,AZZ,AZZ INC,RUSSELL2000,Industrials,52.38,35.0,mixed_sideways,61.8,bullish_above_signal_proxy,64.51,47.15,0.0,2,raw market data; independent of Prism ranking order,EMA: mixed_sideways; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
1013,TDOC,TELADOC HEALTH INC,RUSSELL2000,Health Care,52.38,75.0,confirmed_bullish_trend,60.9,bullish_above_signal_proxy,69.39,49.13,13.53,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,EMA extension 2.9 ATR; MACD setup extended; MACD snapshot proxy; double-cross history unavailable
1014,STBA,S AND T BANCORP INC,NASDAQ+RUSSELL2000,Financials,52.37,72.0,confirmed_bullish_trend,59.55,bullish_above_signal_proxy,63.53,46.96,10.22,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,EMA extension 2.1 ATR; MACD setup extended; MACD snapshot proxy; double-cross history unavailable
1015,XENE,XENON PHARMACEUTICALS INC,NASDAQ+NASDAQ500+RUSSELL2000,Health Care,52.37,72.0,confirmed_bullish_trend,59.55,bullish_above_signal_proxy,71.88,49.63,13.13,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,EMA extension 2.8 ATR; MACD setup extended; MACD snapshot proxy; double-cross history unavailable
1016,NGS,NATURAL GAS SERVICES GROUP INC,RUSSELL2000,Energy,52.33,35.0,mixed_sideways,61.8,bullish_above_signal_proxy,64.36,47.12,0.0,2,raw market data; independent of Prism ranking order,EMA: mixed_sideways; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
