early_signal_rank,ticker,name,index,sector,early_signal_score,ema_score,ema_state,macd_score,macd_state,cat_score,prism_score,overheat_penalty,technical_coverage,source_prism_rank,signal,risk
779,TWO,TWO HARBORS INVESTMENT CORP,RUSSELL2000,Financials,50.39,75.0,confirmed_bullish_trend,25.0,bearish_proxy,50.0,44.25,0.0,2,1462,EMA: confirmed_bullish_trend; MACD: bearish_proxy,MACD snapshot proxy; double-cross history unavailable
780,OLPX,OLAPLEX HOLDINGS INC,NASDAQ+RUSSELL2000,Consumer Staples,50.38,72.0,confirmed_bullish_trend,25.0,bearish_proxy,52.25,45.7,0.0,2,488,EMA: confirmed_bullish_trend; MACD: bearish_proxy,MACD snapshot proxy; double-cross history unavailable
781,USCB,USCB FINANCIAL HOLDINGS INC CLASS,NASDAQ+RUSSELL2000,Financials,50.37,38.0,mixed_sideways,61.8,bullish_above_signal_proxy,55.69,45.39,0.0,2,549,EMA: mixed_sideways; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
782,ASTH,ASTRANA HEALTH INC,NASDAQ+RUSSELL2000,Health Care,50.36,75.0,confirmed_bullish_trend,26.35,bearish_proxy,48.43,44.94,0.0,2,737,EMA: confirmed_bullish_trend; MACD: bearish_proxy,MACD snapshot proxy; double-cross history unavailable
783,BGC,BGC GROUP INC CLASS A,NASDAQ+RUSSELL2000,Financials,50.28,75.0,confirmed_bullish_trend,59.55,bullish_above_signal_proxy,58.59,45.97,11.58,2,431,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,EMA extension 2.4 ATR; MACD setup extended; MACD snapshot proxy; double-cross history unavailable
784,MNSB,MAINSTREET BANCSHARES INC,NASDAQ+RUSSELL2000,Financials,50.27,38.0,mixed_sideways,61.8,bullish_above_signal_proxy,55.4,45.33,0.0,2,561,EMA: mixed_sideways; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
785,PCB,PCB BANCORP,NASDAQ+RUSSELL2000,Financials,50.24,75.0,confirmed_bullish_trend,59.55,bullish_above_signal_proxy,60.63,46.38,12.29,2,368,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,EMA extension 2.6 ATR; MACD setup extended; MACD snapshot proxy; double-cross history unavailable
786,CHCO,CITY HOLDING,NASDAQ+RUSSELL2000,Financials,50.18,38.0,mixed_sideways,61.8,bullish_above_signal_proxy,55.13,45.28,0.0,2,576,EMA: mixed_sideways; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
787,MCFT,MASTERCRAFT BOAT HOLDINGS INC,NASDAQ+RUSSELL2000,Consumer Discretionary,50.12,38.0,mixed_sideways,73.15,fresh_below_zero_cross_proxy,46.36,43.52,0.0,2,1616,EMA: mixed_sideways; MACD: fresh_below_zero_cross_proxy,MACD snapshot proxy; double-cross history unavailable
788,BARK,BARK INC CLASS A,RUSSELL2000,Consumer Discretionary,50.09,35.0,mixed_sideways,71.8,fresh_below_zero_cross_proxy,50.0,44.25,0.0,2,907,EMA: mixed_sideways; MACD: fresh_below_zero_cross_proxy,MACD snapshot proxy; double-cross history unavailable
789,CHEF,CHEFS WAREHOUSE INC,NASDAQ+RUSSELL2000,Consumer Staples,50.06,75.0,confirmed_bullish_trend,60.9,bullish_above_signal_proxy,74.93,50.24,17.68,2,96,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,EMA extension 3.9 ATR; MACD setup extended; MACD snapshot proxy; double-cross history unavailable
790,LKFN,LAKELAND FINANCIAL CORP,NASDAQ+RUSSELL2000,Financials,50.03,38.0,mixed_sideways,61.8,bullish_above_signal_proxy,54.67,45.18,0.0,2,685,EMA: mixed_sideways; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
791,MEI,METHODE ELECTRONICS INC,RUSSELL2000,Information Technology,49.99,75.0,confirmed_bullish_trend,86.55,fresh_above_zero_cross_proxy,50.0,44.25,15.78,2,1240,EMA: confirmed_bullish_trend; MACD: fresh_above_zero_cross_proxy,EMA extension 2.7 ATR; MACD setup extended; event-level volume; MACD snapshot proxy; double-cross history unavailable
792,ZD,ZIFF DAVIS INC,NASDAQ+RUSSELL2000,Communication,49.98,75.0,confirmed_bullish_trend,25.0,bearish_proxy,57.87,45.82,3.0,2,460,EMA: confirmed_bullish_trend; MACD: bearish_proxy,event-level volume; MACD snapshot proxy; double-cross history unavailable
793,IBOC,INTERNATIONAL BANCSHARES CORP,NASDAQ+RUSSELL2000,Financials,49.62,38.0,mixed_sideways,61.8,bullish_above_signal_proxy,53.42,44.93,0.0,2,739,EMA: mixed_sideways; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
794,IESC,IES INC,NASDAQ+RUSSELL2000,Industrials,49.58,75.0,confirmed_bullish_trend,26.35,bearish_proxy,46.54,43.56,0.0,2,1610,EMA: confirmed_bullish_trend; MACD: bearish_proxy,MACD snapshot proxy; double-cross history unavailable
795,MRX,MAREX GROUP PLC,NASDAQ+RUSSELL2000,Financials,49.57,75.0,confirmed_bullish_trend,60.9,bullish_above_signal_proxy,58.81,46.01,12.7,2,428,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,EMA extension 2.7 ATR; MACD setup extended; MACD snapshot proxy; double-cross history unavailable
796,VCEL,VERICEL CORP,NASDAQ+RUSSELL2000,Health Care,49.52,75.0,confirmed_bullish_trend,59.55,bullish_above_signal_proxy,63.51,47.95,14.12,2,192,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,EMA extension 2.3 ATR; MACD setup extended; event-level volume; MACD snapshot proxy; double-cross history unavailable
797,ALX,ALEXANDERS REIT INC,RUSSELL2000,Real Estate,49.49,72.0,confirmed_bullish_trend,25.0,bearish_proxy,50.0,44.25,0.0,2,872,EMA: confirmed_bullish_trend; MACD: bearish_proxy,MACD snapshot proxy; double-cross history unavailable
798,EEX,EMERALD HOLDING INC,RUSSELL2000,Communication,49.49,72.0,confirmed_bullish_trend,25.0,bearish_proxy,50.0,44.25,0.0,2,1051,EMA: confirmed_bullish_trend; MACD: bearish_proxy,MACD snapshot proxy; double-cross history unavailable
799,ELA,ENVELA CORP,RUSSELL2000,Consumer Discretionary,49.49,72.0,confirmed_bullish_trend,25.0,bearish_proxy,50.0,44.25,0.0,2,1056,EMA: confirmed_bullish_trend; MACD: bearish_proxy,MACD snapshot proxy; double-cross history unavailable
800,EVC,ENTRAVISION COMMUNICATIONS CORP CL,RUSSELL2000,Communication,49.49,72.0,confirmed_bullish_trend,25.0,bearish_proxy,50.0,44.25,0.0,2,1068,EMA: confirmed_bullish_trend; MACD: bearish_proxy,MACD snapshot proxy; double-cross history unavailable
801,IIPR,INNOVATIVE INDUSTRIAL PROPERTIES I,RUSSELL2000,Real Estate,49.49,72.0,confirmed_bullish_trend,25.0,bearish_proxy,50.0,44.25,0.0,2,1162,EMA: confirmed_bullish_trend; MACD: bearish_proxy,MACD snapshot proxy; double-cross history unavailable
802,SG,SWEETGREEN INC CLASS A,RUSSELL2000,Consumer Discretionary,49.49,72.0,confirmed_bullish_trend,25.0,bearish_proxy,50.0,44.25,0.0,2,1396,EMA: confirmed_bullish_trend; MACD: bearish_proxy,MACD snapshot proxy; double-cross history unavailable
803,UNTY,UNITY BANCORP INC,RUSSELL2000,Financials,49.49,72.0,confirmed_bullish_trend,25.0,bearish_proxy,50.0,44.25,0.0,2,1474,EMA: confirmed_bullish_trend; MACD: bearish_proxy,MACD snapshot proxy; double-cross history unavailable
804,SYBT,STOCK YARDS BANCORP INC,NASDAQ+RUSSELL2000,Financials,49.48,38.0,mixed_sideways,61.8,bullish_above_signal_proxy,53.02,44.85,0.0,2,755,EMA: mixed_sideways; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
805,PDM,PIEDMONT REALTY TRUST INC CLASS A,RUSSELL2000,Real Estate,49.48,75.0,confirmed_bullish_trend,21.35,fresh_bearish_cross_proxy,50.0,44.25,0.0,2,1326,EMA: confirmed_bullish_trend; MACD: fresh_bearish_cross_proxy,MACD snapshot proxy; double-cross history unavailable
806,RLGT,RADIANT LOGISTIC INC,RUSSELL2000,Industrials,49.48,75.0,confirmed_bullish_trend,21.35,fresh_bearish_cross_proxy,50.0,44.25,0.0,2,1368,EMA: confirmed_bullish_trend; MACD: fresh_bearish_cross_proxy,MACD snapshot proxy; double-cross history unavailable
807,COCO,THE VITA COCO COMPANY INC,NASDAQ+RUSSELL2000,Consumer Staples,49.4,75.0,confirmed_bullish_trend,60.9,bullish_above_signal_proxy,55.07,46.26,11.78,2,391,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,EMA extension 2.4 ATR; MACD setup extended; MACD snapshot proxy; double-cross history unavailable
808,MYRG,MYR GROUP INC,NASDAQ+RUSSELL2000,Industrials,49.4,75.0,confirmed_bullish_trend,25.0,bearish_proxy,47.0,43.65,0.0,2,1601,EMA: confirmed_bullish_trend; MACD: bearish_proxy,MACD snapshot proxy; double-cross history unavailable
809,MXCT,MAXCYTE INC,NASDAQ+RUSSELL2000,Health Care,49.38,75.0,confirmed_bullish_trend,25.0,bearish_proxy,46.48,44.55,0.0,2,810,EMA: confirmed_bullish_trend; MACD: bearish_proxy,MACD snapshot proxy; double-cross history unavailable
810,FTDR,FRONTDOOR INC,NASDAQ+RUSSELL2000,Consumer Discretionary,49.36,75.0,confirmed_bullish_trend,59.55,bullish_above_signal_proxy,59.82,46.21,12.91,2,396,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,EMA extension 2.7 ATR; MACD setup extended; MACD snapshot proxy; double-cross history unavailable
811,TRMK,TRUSTMARK CORP,NASDAQ+RUSSELL2000,Financials,49.32,38.0,mixed_sideways,61.8,bullish_above_signal_proxy,52.53,44.76,0.0,2,776,EMA: mixed_sideways; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
812,FRME,FIRST MERCHANTS CORP,NASDAQ+RUSSELL2000,Financials,49.32,38.0,mixed_sideways,61.8,bullish_above_signal_proxy,52.52,44.75,0.0,2,777,EMA: mixed_sideways; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
813,AIN,ALBANY INTERNATIONAL CORP CLASS A,RUSSELL2000,Industrials,49.29,75.0,confirmed_bullish_trend,60.9,bullish_above_signal_proxy,50.0,44.25,10.07,2,865,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,EMA extension 2.0 ATR; MACD setup extended; MACD snapshot proxy; double-cross history unavailable
814,ANGO,ANGIODYNAMICS INC,NASDAQ+RUSSELL2000,Health Care,49.27,75.0,confirmed_bullish_trend,25.0,bearish_proxy,55.24,46.3,3.0,2,385,EMA: confirmed_bullish_trend; MACD: bearish_proxy,event-level volume; MACD snapshot proxy; double-cross history unavailable
815,CDNA,CAREDX INC,NASDAQ+RUSSELL2000,Health Care,49.25,75.0,confirmed_bullish_trend,59.55,bullish_above_signal_proxy,68.35,48.92,15.98,2,137,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,EMA extension 2.7 ATR; MACD setup extended; event-level volume; MACD snapshot proxy; double-cross history unavailable
816,PRLB,PROTO LABS INC,RUSSELL2000,Industrials,49.25,75.0,confirmed_bullish_trend,60.9,bullish_above_signal_proxy,50.0,44.25,10.12,2,1346,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,EMA extension 2.0 ATR; MACD setup extended; MACD snapshot proxy; double-cross history unavailable
817,ESCA,ESCALADE INC,NASDAQ+RUSSELL2000,Consumer Discretionary,49.17,38.0,mixed_sideways,71.8,fresh_below_zero_cross_proxy,44.49,43.15,0.0,2,1650,EMA: mixed_sideways; MACD: fresh_below_zero_cross_proxy,MACD snapshot proxy; double-cross history unavailable
818,NSP,INSPERITY INC,RUSSELL2000,Industrials,49.14,75.0,confirmed_bullish_trend,20.0,fresh_bearish_cross_proxy,50.0,44.25,0.0,2,1290,EMA: confirmed_bullish_trend; MACD: fresh_bearish_cross_proxy,MACD snapshot proxy; double-cross history unavailable
819,PBI,PITNEY BOWES INC,RUSSELL2000,Industrials,49.14,75.0,confirmed_bullish_trend,20.0,fresh_bearish_cross_proxy,50.0,44.25,0.0,2,1324,EMA: confirmed_bullish_trend; MACD: fresh_bearish_cross_proxy,MACD snapshot proxy; double-cross history unavailable
820,TRS,TRIMAS CORP,NASDAQ+RUSSELL2000,Materials,49.1,75.0,confirmed_bullish_trend,59.55,bullish_above_signal_proxy,65.62,47.37,15.08,2,240,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,EMA extension 2.5 ATR; MACD setup extended; event-level volume; MACD snapshot proxy; double-cross history unavailable
821,BDC,BELDEN INC,RUSSELL2000,Information Technology,49.1,85.0,early_transition,48.9,bullish_below_zero_proxy,50.0,44.25,10.26,2,915,EMA: early_transition; MACD: bullish_below_zero_proxy,EMA extension 2.1 ATR; MACD setup extended; MACD snapshot proxy; double-cross history unavailable
822,BOOM,DMC GLOBAL INC,NASDAQ+RUSSELL2000,Energy,49.1,72.0,confirmed_bullish_trend,25.0,bearish_proxy,48.83,44.02,0.0,2,1558,EMA: confirmed_bullish_trend; MACD: bearish_proxy,MACD snapshot proxy; double-cross history unavailable
823,TOWN,TOWNEBANK,NASDAQ+RUSSELL2000,Financials,49.02,38.0,mixed_sideways,61.8,bullish_above_signal_proxy,51.6,44.57,0.0,2,807,EMA: mixed_sideways; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
824,ORN,ORION GROUP INC,RUSSELL2000,Industrials,49.0,75.0,confirmed_bullish_trend,60.9,bullish_above_signal_proxy,50.0,44.25,10.37,2,1313,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,EMA extension 2.1 ATR; MACD setup extended; MACD snapshot proxy; double-cross history unavailable
825,NVTS,NAVITAS SEMICONDUCTOR CORP,NASDAQ+RUSSELL2000,Information Technology,49.0,72.0,confirmed_bullish_trend,25.0,bearish_proxy,48.51,43.95,0.0,2,1571,EMA: confirmed_bullish_trend; MACD: bearish_proxy,MACD snapshot proxy; double-cross history unavailable
826,SKY,CHAMPION HOMES INC,RUSSELL2000,Consumer Discretionary,48.99,75.0,confirmed_bullish_trend,60.9,bullish_above_signal_proxy,50.0,44.25,10.37,2,1405,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,EMA extension 2.1 ATR; MACD setup extended; MACD snapshot proxy; double-cross history unavailable
827,CTEV,CLARITEV CORP CLASS A,RUSSELL2000,Health Care,48.98,38.0,mixed_sideways,63.15,bullish_above_signal_proxy,50.0,45.25,0.0,2,605,EMA: mixed_sideways; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
828,CWT,CALIFORNIA WATER SERVICE GROUP,RUSSELL2000,Utilities,48.98,38.0,mixed_sideways,63.15,bullish_above_signal_proxy,50.0,45.25,0.0,2,606,EMA: mixed_sideways; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
829,EVH,EVOLENT HEALTH INC CLASS A,RUSSELL2000,Health Care,48.98,38.0,mixed_sideways,63.15,bullish_above_signal_proxy,50.0,45.25,0.0,2,615,EMA: mixed_sideways; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
830,LC,LENDINGCLUB CORP,RUSSELL2000,Financials,48.96,75.0,confirmed_bullish_trend,59.55,bullish_above_signal_proxy,50.0,44.25,10.07,2,1205,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,EMA extension 2.0 ATR; MACD setup extended; MACD snapshot proxy; double-cross history unavailable
831,DERM,JOURNEY MEDICAL CORP,NASDAQ+RUSSELL2000,Health Care,48.92,75.0,confirmed_bullish_trend,26.35,bearish_proxy,44.08,44.07,0.0,2,1549,EMA: confirmed_bullish_trend; MACD: bearish_proxy,MACD snapshot proxy; double-cross history unavailable
832,EPAC,ENERPAC TOOL GROUP CORP CLASS A,RUSSELL2000,Industrials,48.9,85.0,early_transition,47.55,bullish_below_zero_proxy,50.0,44.25,10.12,2,1060,EMA: early_transition; MACD: bullish_below_zero_proxy,EMA extension 2.0 ATR; MACD setup extended; MACD snapshot proxy; double-cross history unavailable
833,ANIP,ANI PHARMACEUTICALS INC,NASDAQ+RUSSELL2000,Health Care,48.86,38.0,mixed_sideways,63.15,bullish_above_signal_proxy,49.65,45.18,0.0,2,687,EMA: mixed_sideways; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
834,ABX,ABACUS GLOBAL MANAGEMENT INC CLASS,RUSSELL2000,Financials,48.83,38.0,mixed_sideways,63.15,bullish_above_signal_proxy,50.0,44.25,0.0,2,848,EMA: mixed_sideways; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
835,CDP,COPT DEFENSE PROPERTIES,RUSSELL2000,Real Estate,48.83,38.0,mixed_sideways,63.15,bullish_above_signal_proxy,50.0,44.25,0.0,2,967,EMA: mixed_sideways; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
836,CURB,CURBLINE PROPERTIES,RUSSELL2000,Real Estate,48.83,38.0,mixed_sideways,63.15,bullish_above_signal_proxy,50.0,44.25,0.0,2,1014,EMA: mixed_sideways; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
837,GBCI,GLACIER BANCORP INC,RUSSELL2000,Financials,48.83,38.0,mixed_sideways,63.15,bullish_above_signal_proxy,50.0,44.25,0.0,2,1099,EMA: mixed_sideways; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
838,PLGO,PELAGOS INSURANCE CAPITAL LTD,RUSSELL2000,Financials,48.83,38.0,mixed_sideways,63.15,bullish_above_signal_proxy,50.0,44.25,0.0,2,1338,EMA: mixed_sideways; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
839,WLY,JOHN WILEY AND SONS INC CLASS A,RUSSELL2000,Communication,48.79,75.0,confirmed_bullish_trend,59.55,bullish_above_signal_proxy,50.0,44.25,10.23,2,1502,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,EMA extension 2.1 ATR; MACD setup extended; MACD snapshot proxy; double-cross history unavailable
840,KN,KNOWLES CORP,RUSSELL2000,Information Technology,48.75,75.0,confirmed_bullish_trend,60.9,bullish_above_signal_proxy,50.0,44.25,10.62,2,1188,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,EMA extension 2.2 ATR; MACD setup extended; MACD snapshot proxy; double-cross history unavailable
841,AQST,AQUESTIVE THERAPEUTICS INC,NASDAQ+RUSSELL2000,Health Care,48.73,75.0,confirmed_bullish_trend,59.55,bullish_above_signal_proxy,58.62,46.97,13.29,2,281,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,EMA extension 2.8 ATR; MACD setup extended; MACD snapshot proxy; double-cross history unavailable
842,WHG,WESTWOOD HOLDINGS GROUP INC,RUSSELL2000,Financials,48.68,75.0,confirmed_bullish_trend,60.9,bullish_above_signal_proxy,50.0,44.25,10.69,2,1499,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,EMA extension 2.2 ATR; MACD setup extended; MACD snapshot proxy; double-cross history unavailable
843,AGYS,AGILYSYS INC,NASDAQ+RUSSELL2000,Information Technology,48.66,38.0,mixed_sideways,25.0,bearish_proxy,78.4,49.93,0.0,2,106,EMA: mixed_sideways; MACD: bearish_proxy,MACD snapshot proxy; double-cross history unavailable
844,USNA,USANA HEALTH SCIENCES INC,RUSSELL2000,Consumer Staples,48.64,38.0,mixed_sideways,61.8,bullish_above_signal_proxy,50.0,45.25,0.0,2,661,EMA: mixed_sideways; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
845,ACA,ARCOSA INC,RUSSELL2000,Industrials,48.6,75.0,confirmed_bullish_trend,59.55,bullish_above_signal_proxy,50.0,44.25,10.42,2,849,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,EMA extension 2.1 ATR; MACD setup extended; MACD snapshot proxy; double-cross history unavailable
846,XOMA,XOMA ROYALTY CORP,NASDAQ+RUSSELL2000,Health Care,48.53,72.0,confirmed_bullish_trend,25.0,bearish_proxy,46.66,44.58,0.0,2,805,EMA: confirmed_bullish_trend; MACD: bearish_proxy,MACD snapshot proxy; double-cross history unavailable
847,PBFS,PIONEER BANCORP INC,NASDAQ+RUSSELL2000,Financials,48.51,75.0,confirmed_bullish_trend,59.55,bullish_above_signal_proxy,64.33,47.12,15.24,2,270,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,EMA extension 2.6 ATR; MACD setup extended; event-level volume; MACD snapshot proxy; double-cross history unavailable
848,CARE,CARTER BANKSHARES INC,NASDAQ+RUSSELL2000,Financials,48.5,75.0,confirmed_bullish_trend,59.55,bullish_above_signal_proxy,73.84,49.02,18.39,2,134,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,EMA extension 3.3 ATR; MACD setup extended; event-level volume; MACD snapshot proxy; double-cross history unavailable
849,HCSG,HEALTHCARE SERVICES GROUP INC,NASDAQ+RUSSELL2000,Industrials,48.5,75.0,confirmed_bullish_trend,59.55,bullish_above_signal_proxy,53.97,45.04,11.83,2,720,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,EMA extension 2.5 ATR; MACD setup extended; MACD snapshot proxy; double-cross history unavailable
850,SCHL,SCHOLASTIC CORP,NASDAQ+RUSSELL2000,Communication,48.5,75.0,confirmed_bullish_trend,25.0,bearish_proxy,53.38,44.93,3.0,2,743,EMA: confirmed_bullish_trend; MACD: bearish_proxy,event-level volume; MACD snapshot proxy; double-cross history unavailable
851,BOH,BANK OF HAWAII CORP,RUSSELL2000,Financials,48.49,38.0,mixed_sideways,61.8,bullish_above_signal_proxy,50.0,44.25,0.0,2,937,EMA: mixed_sideways; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
852,CNS,COHEN & STEERS INC,RUSSELL2000,Financials,48.49,38.0,mixed_sideways,61.8,bullish_above_signal_proxy,50.0,44.25,0.0,2,988,EMA: mixed_sideways; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
853,CUBI,CUSTOMERS BANCORP INC,RUSSELL2000,Financials,48.49,38.0,mixed_sideways,61.8,bullish_above_signal_proxy,50.0,44.25,0.0,2,1013,EMA: mixed_sideways; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
854,GFF,GRIFFON CORP,RUSSELL2000,Industrials,48.49,38.0,mixed_sideways,61.8,bullish_above_signal_proxy,50.0,44.25,0.0,2,1110,EMA: mixed_sideways; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
855,MCB,METROPOLITAN BANK HOLDING CORP,RUSSELL2000,Financials,48.49,38.0,mixed_sideways,61.8,bullish_above_signal_proxy,50.0,44.25,0.0,2,1235,EMA: mixed_sideways; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
856,PFBC,PREFERRED BANK,RUSSELL2000,Financials,48.49,38.0,mixed_sideways,61.8,bullish_above_signal_proxy,50.0,44.25,0.0,2,1328,EMA: mixed_sideways; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
857,PFS,PROVIDENT FINANCIAL SERVICES INC,RUSSELL2000,Financials,48.49,38.0,mixed_sideways,61.8,bullish_above_signal_proxy,50.0,44.25,0.0,2,1329,EMA: mixed_sideways; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
858,RPT,RITHM PROPERTY INC TRUST,RUSSELL2000,Financials,48.49,38.0,mixed_sideways,61.8,bullish_above_signal_proxy,50.0,44.25,0.0,2,1376,EMA: mixed_sideways; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
859,UBSI,UNITED BANKSHARES INC,RUSSELL2000,Financials,48.49,38.0,mixed_sideways,61.8,bullish_above_signal_proxy,50.0,44.25,0.0,2,1464,EMA: mixed_sideways; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
860,UNIT,UNITI GROUP INC,RUSSELL2000,Communication,48.49,38.0,mixed_sideways,61.8,bullish_above_signal_proxy,50.0,44.25,0.0,2,1473,EMA: mixed_sideways; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
861,CGEM,CULLINAN THERAPEUTICS INC,NASDAQ+RUSSELL2000,Health Care,48.43,38.0,mixed_sideways,71.8,fresh_below_zero_cross_proxy,41.78,43.61,0.0,2,1604,EMA: mixed_sideways; MACD: fresh_below_zero_cross_proxy,MACD snapshot proxy; double-cross history unavailable
862,FDMT,4D MOLECULAR THERAPEUTICS INC,NASDAQ+RUSSELL2000,Health Care,48.42,38.0,mixed_sideways,51.15,bullish_below_zero_proxy,57.42,46.73,0.0,2,318,EMA: mixed_sideways; MACD: bullish_below_zero_proxy,MACD snapshot proxy; double-cross history unavailable
863,BATRA,ATLANTA BRAVES HOLDINGS INC SERIES,NASDAQ+RUSSELL2000,Communication,48.39,38.0,mixed_sideways,61.8,bullish_above_signal_proxy,49.72,44.19,0.0,2,1533,EMA: mixed_sideways; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
864,FUN,SIX FLAGS ENTERTAINMENT CORP,RUSSELL2000,Consumer Discretionary,48.29,75.0,confirmed_bullish_trend,60.9,bullish_above_signal_proxy,50.0,44.25,11.07,2,1095,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,EMA extension 2.3 ATR; MACD setup extended; MACD snapshot proxy; double-cross history unavailable
865,NNE,NANO NUCLEAR ENERGY INC,NASDAQ+RUSSELL2000,Industrials,48.29,38.0,mixed_sideways,73.15,fresh_below_zero_cross_proxy,40.79,42.41,0.0,2,1704,EMA: mixed_sideways; MACD: fresh_below_zero_cross_proxy,MACD snapshot proxy; double-cross history unavailable
866,PLSE,PULSE BIOSCIENCES INC,NASDAQ+RUSSELL2000,Health Care,48.25,75.0,confirmed_bullish_trend,26.35,bearish_proxy,42.04,43.66,0.0,2,1599,EMA: confirmed_bullish_trend; MACD: bearish_proxy,MACD snapshot proxy; double-cross history unavailable
867,COGT,COGENT BIOSCIENCES INC,NASDAQ+RUSSELL2000,Health Care,48.18,38.0,mixed_sideways,49.8,bullish_below_zero_proxy,57.7,46.79,0.0,2,309,EMA: mixed_sideways; MACD: bullish_below_zero_proxy,MACD snapshot proxy; double-cross history unavailable
868,TDOC,TELADOC HEALTH INC,RUSSELL2000,Health Care,48.16,75.0,confirmed_bullish_trend,60.9,bullish_above_signal_proxy,50.0,45.25,11.36,2,655,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,EMA extension 2.3 ATR; MACD setup extended; MACD snapshot proxy; double-cross history unavailable
869,KRRO,KORRO BIO INC,NASDAQ+RUSSELL2000,Health Care,48.15,38.0,mixed_sideways,71.8,fresh_below_zero_cross_proxy,50.04,45.26,3.0,2,581,EMA: mixed_sideways; MACD: fresh_below_zero_cross_proxy,event-level volume; MACD snapshot proxy; double-cross history unavailable
870,EAT,BRINKER INTERNATIONAL INC,RUSSELL2000,Consumer Discretionary,48.15,75.0,confirmed_bullish_trend,60.9,bullish_above_signal_proxy,50.0,44.25,11.21,2,1047,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,EMA extension 2.3 ATR; MACD setup extended; MACD snapshot proxy; double-cross history unavailable
871,SXI,STANDEX INTERNATIONAL CORP,RUSSELL2000,Industrials,48.12,75.0,confirmed_bullish_trend,60.9,bullish_above_signal_proxy,50.0,44.25,11.24,2,1430,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,EMA extension 2.3 ATR; MACD setup extended; MACD snapshot proxy; double-cross history unavailable
