early_signal_rank,ticker,name,index,sector,early_signal_score,ema_score,ema_state,macd_score,macd_state,cat_score,prism_score,overheat_penalty,technical_coverage,source_data,signal,risk
82,ODFL,Old Dominion,NASDAQ+NASDAQ200+NASDAQ500+SPX,Industrials,57.45,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,46.25,43.5,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
83,IR,Ingersoll Rand,SPX,Industrials,57.37,72.0,confirmed_bullish_trend,86.55,fresh_above_zero_cross_proxy,57.8,45.81,10.08,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: fresh_above_zero_cross_proxy,EMA extension 2.0 ATR; MACD setup extended; MACD snapshot proxy; double-cross history unavailable
84,CHD,Church & Dwight,SPX,Consumer Staples,57.29,100.0,fresh_bullish_cross,25.0,bearish_proxy,47.75,44.8,0.0,2,raw market data; independent of Prism ranking order,EMA: fresh_bullish_cross; MACD: bearish_proxy,MACD snapshot proxy; double-cross history unavailable
85,PKG,Packaging Corporation of America,SPX,Materials,57.19,100.0,fresh_bullish_cross,25.0,bearish_proxy,47.88,43.83,0.0,2,raw market data; independent of Prism ranking order,EMA: fresh_bullish_cross; MACD: bearish_proxy,MACD snapshot proxy; double-cross history unavailable
86,EOG,EOG Resources,SPX,Energy,56.89,72.0,confirmed_bullish_trend,49.8,bullish_below_zero_proxy,53.64,44.98,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_below_zero_proxy,MACD snapshot proxy; double-cross history unavailable
87,PLTR,Palantir Technologies,NASDAQ+NASDAQ200+NASDAQ500+SPX,Information Technology,56.77,82.0,early_transition,49.8,bullish_below_zero_proxy,44.2,43.09,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_below_zero_proxy,MACD snapshot proxy; double-cross history unavailable
88,GPC,Genuine Parts Company,SPX,Consumer Discretionary,56.72,72.0,confirmed_bullish_trend,25.0,bearish_proxy,71.92,48.63,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bearish_proxy,MACD snapshot proxy; double-cross history unavailable
89,JKHY,Jack Henry & Associates,NASDAQ+NASDAQ500+SPX,Financials,56.59,82.0,early_transition,59.55,bullish_above_signal_proxy,66.74,47.6,10.06,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,EMA extension 2.0 ATR; MACD setup extended; MACD snapshot proxy; double-cross history unavailable
90,KEY,KeyCorp,SPX,Financials,56.45,72.0,confirmed_bullish_trend,86.55,fresh_above_zero_cross_proxy,55.46,45.34,10.22,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: fresh_above_zero_cross_proxy,EMA extension 2.1 ATR; MACD setup extended; MACD snapshot proxy; double-cross history unavailable
91,ITW,Illinois Tool Works,SPX,Industrials,55.9,72.0,confirmed_bullish_trend,86.55,fresh_above_zero_cross_proxy,54.8,45.21,10.56,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: fresh_above_zero_cross_proxy,EMA extension 2.1 ATR; MACD setup extended; MACD snapshot proxy; double-cross history unavailable
92,CASY,Casey's,NASDAQ+NASDAQ200+NASDAQ500+SPX,Consumer Staples,55.58,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,40.12,43.27,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
