current_rank,ticker,name,sector,2026-06-22__predicted_rank,2026-06-22__close,2026-06-22__next_snapshot_return,2026-06-20__predicted_rank,2026-06-20__close,2026-06-20__next_snapshot_return
208,LYTS,LSI INDUSTRIES INC,Industrials,208,26.04,,698,26.14,-0.0038255547054323324
209,CWBC,COMMUNITY WEST BANCSHARES,Financials,209,25.31,,147,25.34,-0.0011838989739543226
210,CYH,COMMUNITY HEALTH SYSTEMS INC,Health Care,210,3.03,,194,3.015,0.004975124378109319
211,HROW,HARROW INC,Health Care,211,42.41,,215,43.29,-0.02032802032802039
212,NEO,NEOGENOMICS INC,Health Care,212,11.2,,321,11.27,-0.006211180124223614
213,ORN,ORION GROUP INC,Industrials,213,15.6,,825,15.69,-0.005736137667303964
214,SFBS,SERVISFIRST BANCSHARES INC,Financials,214,81.92,,572,81.41,0.006264586660115423
215,HCSG,HEALTHCARE SERVICES GROUP INC,Industrials,215,22.54,,849,23.05,-0.02212581344902398
216,PBYI,PUMA BIOTECHNOLOGY INC,Health Care,216,7.66,,509,7.6,0.007894736842105399
217,EBMT,EAGLE BANCORP MONTANA INC,Financials,217,23.2,,696,23.195,0.0002155636990730514
218,PFBC,PREFERRED BANK,Financials,218,99.74,,856,99.74,0.0
219,VRDN,VIRIDIAN THERAPEUTICS ORS INC,Health Care,219,17.63,,1143,17.64,-0.0005668934240363743
220,UFPI,UFP INDUSTRIES INC,Industrials,220,85.44,,303,85.98,-0.006280530355896818
221,IRON,DISC MEDICINE INC,Health Care,221,70.8,,521,72.22,-0.019662143450567715
222,MTRX,MATRIX SERVICE,Industrials,222,13.95,,20,13.96,-0.0007163323782236608
223,ABM,ABM INDUSTRIES INC,Industrials,223,43.86,,420,43.275,0.01351819757365691
224,HGV,HILTON GRAND VACATIONS INC,Consumer Discretionary,224,52.08,,374,51.96,0.002309468822170757
225,AVNT,AVIENT CORP,Materials,225,37.28,,353,37.38,-0.002675227394328572
226,ADEA,ADEIA INC,Information Technology,226,31.81,,239,31.853,-0.0013499513389634288
227,SBCF,SEACOAST BANKING OF FLORIDA,Financials,227,31.17,,155,31.27,-0.003197953309881596
228,FUL,HB FULLER,Materials,228,64.31,,366,64.46,-0.0023270245113247157
229,IPAR,INTERPARFUMS INC,Consumer Staples,229,97.75,,173,97.67,0.0008190846728779455
230,SFBC,SOUND FINANCIAL BANCORP INC,Financials,230,42.99,,404,43.115,-0.0028992230082337533
231,HIMS,HIMS HERS HEALTH INC CLASS A,Health Care,231,33.54,,982,33.66,-0.0035650623885917776
232,SHBI,SHORE BANCSHARES INC,Financials,232,22.07,,89,22.13,-0.002711251694532235
233,LOCO,EL POLLO LOCO INC,Consumer Discretionary,233,15.45,,701,15.77,-0.02029169308814205
234,TILE,INTERFACE INC,Industrials,234,32.36,,727,32.41,-0.00154273372415914
235,ALKS,ALKERMES,Health Care,235,46.02,,1053,46.283,-0.005682431994468717
236,MYFW,FIRST WESTERN FINANCIAL INC,Financials,236,30.41,,146,30.465,-0.001805350402100725
237,EIG,EMPLOYERS HOLDINGS INC,Financials,237,46.52,,947,46.81,-0.006195257423627365
238,TMP,TOMPKINS FINANCIAL CORP,Financials,238,90.3,,459,90.51,-0.0023201856148492572
239,GRBK,GREEN BRICK PARTNERS INC,Consumer Discretionary,239,73.6,,878,73.97,-0.005002027849128066
240,CENTA,CENTRAL GARDEN AND PET CLASS A,Consumer Staples,240,37.71,,169,38.07,-0.009456264775413725
241,JOUT,JOHNSON OUTDOORS INC CLASS A,Consumer Discretionary,241,45.47,,224,45.465,0.00010997470581752822
242,ANAB,ANAPTYSBIO INC,Health Care,242,59.99,,1003,58.815,0.019977896795035255
243,HTB,HOMETRUST BANCSHARES INC,Financials,243,48.05,,377,48.155,-0.0021804589346900993
244,AX,AXOS FINANCIAL INC,Financials,244,88.52,,228,88.69,-0.0019167888149734802
245,BBT,BEACON FINANCIAL CORP,Financials,245,29.75,,229,29.86,-0.003683858004018714
246,RCKY,ROCKY BRANDS INC,Consumer Discretionary,246,40.85,,91,40.985,-0.0032938880078077215
247,RICK,RCI HOSPITALITY HOLDINGS INC,Consumer Discretionary,247,27.07,,624,27.455,-0.01402294663995618
248,DIN,DINE BRANDS GLOBAL INC,Consumer Discretionary,248,33.38,,505,33.61,-0.006843201428146317
249,FVCB,FVCBANKCORP INC,Financials,249,16.86,,144,16.805,0.003272835465635282
250,DGICA,DONEGAL GROUP INC CLASS A,Financials,250,17.5,,197,17.49,0.0005717552887365418
251,FRBA,FIRST BANK,Financials,251,16.39,,171,16.53,-0.008469449485783431
252,FMBH,FIRST MID BANCSHARES INC,Financials,252,46.08,,167,46.25,-0.003675675675675727
253,SLP,SIMULATIONS PLUS INC,Health Care,253,18.1,,160,18.205,-0.005767646251029768
254,CBK,COMMERCIAL BANCGROUP INC,Financials,254,31.17,,131,31.21,-0.001281640499839809
255,XERS,XERIS BIOPHARMA HOLDINGS INC,Health Care,255,6.9,,69,6.965,-0.009332376166546918
256,BATRK,ATLANTA BRAVES HOLDINGS INC SERIES,Communication,256,50.89,,911,50.585,0.006029455372145831
257,MBIN,MERCHANTS BANCORP,Financials,257,49.5,,247,49.97,-0.00940564338603156
258,ALH,ALLIANCE LAUNDRY HOLDINGS INC,Industrials,258,26.44,,349,26.79,-0.013064576334453126
259,SMBK,SMARTFINANCIAL INC,Financials,259,44.84,,395,44.77,0.0015635470180925815
260,LARK,LANDMARK BANCORP INC,Financials,260,29.32,,322,29.37,-0.001702417432754566
261,HVT,HAVERTY FURNITURE COMPANIES INC,Consumer Discretionary,261,24.16,,438,24.36,-0.008210180623973717
262,TNK,TEEKAY TANKERS LTD CLASS A,Energy,262,77.58,,932,78.3775,-0.010175114031450327
263,MMSI,MERIT MEDICAL SYSTEMS INC,Health Care,263,66.5,,156,66.54,-0.0006011421701233033
264,SGRY,SURGERY PARTNERS INC,Health Care,264,14.55,,331,14.59,-0.002741603838245288
265,MLP,MAUI LAND AND PINEAPPLE INC,Real Estate,265,18.32,,939,18.17,0.008255365987892116
266,BVFL,BV FINANCIAL INC,Financials,266,20.48,,528,20.05,0.02144638403990018
267,PLX,PROTALIX BIOTHERAPEUTICS INC,Health Care,267,2.16,,300,2.175,-0.006896551724137834
268,WTBA,WEST BANCORPORATION INC,Financials,268,25.11,,148,25.01,0.003998400639743993
