early_signal_rank,ticker,name,index,sector,early_signal_score,ema_score,ema_state,macd_score,macd_state,cat_score,prism_score,overheat_penalty,technical_coverage,source_data,signal,risk
959,SANM,SANMINA CORP,NASDAQ+NASDAQ500+RUSSELL2000,Information Technology,50.2,72.0,confirmed_bullish_trend,25.0,bearish_proxy,52.15,44.68,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bearish_proxy,MACD snapshot proxy; double-cross history unavailable
960,VLY,VALLEY NATIONAL,NASDAQ+NASDAQ500+RUSSELL2000,Financials,50.19,72.0,confirmed_bullish_trend,59.55,bullish_above_signal_proxy,58.92,46.03,10.88,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,EMA extension 2.2 ATR; MACD setup extended; MACD snapshot proxy; double-cross history unavailable
961,IMAX,IMAX CORP,RUSSELL2000,Communication,50.18,72.0,confirmed_bullish_trend,59.55,bullish_above_signal_proxy,58.47,45.94,10.74,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,EMA extension 2.2 ATR; MACD setup extended; MACD snapshot proxy; double-cross history unavailable
962,NMIH,NMI HOLDINGS INC,NASDAQ+RUSSELL2000,Financials,50.17,82.0,early_transition,47.55,bullish_below_zero_proxy,57.62,45.77,10.47,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_below_zero_proxy,EMA extension 2.1 ATR; MACD setup extended; MACD snapshot proxy; double-cross history unavailable
963,LNN,LINDSAY CORP,RUSSELL2000,Industrials,50.16,72.0,confirmed_bullish_trend,59.55,bullish_above_signal_proxy,62.09,46.67,11.95,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,EMA extension 2.5 ATR; MACD setup extended; MACD snapshot proxy; double-cross history unavailable
964,CNOB,CONNECTONE BANCORP INC,NASDAQ+RUSSELL2000,Financials,50.15,72.0,confirmed_bullish_trend,59.55,bullish_above_signal_proxy,62.96,46.84,12.25,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,EMA extension 2.6 ATR; MACD setup extended; MACD snapshot proxy; double-cross history unavailable
965,HOPE,HOPE BANCORP INC,NASDAQ+RUSSELL2000,Financials,50.13,72.0,confirmed_bullish_trend,59.55,bullish_above_signal_proxy,60.77,46.4,11.55,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,EMA extension 2.4 ATR; MACD setup extended; MACD snapshot proxy; double-cross history unavailable
966,SUNS,SUNRISE REALTY TRUST INC,NASDAQ+RUSSELL2000,Financials,50.12,72.0,confirmed_bullish_trend,25.0,bearish_proxy,51.91,44.63,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bearish_proxy,MACD snapshot proxy; double-cross history unavailable
967,NBHC,NATIONAL BANK HOLDINGS CORP CLASS,RUSSELL2000,Financials,50.12,72.0,confirmed_bullish_trend,59.55,bullish_above_signal_proxy,59.64,46.18,11.19,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,EMA extension 2.3 ATR; MACD setup extended; MACD snapshot proxy; double-cross history unavailable
968,PSTL,POSTAL REALTY TRUST INC CLASS A,RUSSELL2000,Real Estate,50.12,72.0,confirmed_bullish_trend,25.0,bearish_proxy,51.92,44.63,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bearish_proxy,MACD snapshot proxy; double-cross history unavailable
969,VC,VISTEON CORP,NASDAQ+RUSSELL2000,Consumer Discretionary,50.11,72.0,confirmed_bullish_trend,25.0,bearish_proxy,51.9,44.63,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bearish_proxy,MACD snapshot proxy; double-cross history unavailable
970,NKTX,NKARTA INC,NASDAQ+RUSSELL2000,Health Care,50.1,72.0,confirmed_bullish_trend,49.8,bullish_below_zero_proxy,32.62,41.77,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_below_zero_proxy,MACD snapshot proxy; double-cross history unavailable
971,AMCX,AMC GLOBAL MEDIA INC CLASS A,NASDAQ+RUSSELL2000,Communication,50.06,72.0,confirmed_bullish_trend,25.0,bearish_proxy,51.73,44.6,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bearish_proxy,MACD snapshot proxy; double-cross history unavailable
972,ATNI,ATN INTERNATIONAL INC,NASDAQ+RUSSELL2000,Communication,50.06,35.0,mixed_sideways,71.8,fresh_below_zero_cross_proxy,49.92,44.23,0.0,2,raw market data; independent of Prism ranking order,EMA: mixed_sideways; MACD: fresh_below_zero_cross_proxy,MACD snapshot proxy; double-cross history unavailable
973,CRSR,CORSAIR GAMING INC,NASDAQ+RUSSELL2000,Information Technology,50.04,72.0,confirmed_bullish_trend,25.0,bearish_proxy,51.67,44.58,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bearish_proxy,MACD snapshot proxy; double-cross history unavailable
974,KWR,QUAKER HOUGHTON CORP,RUSSELL2000,Materials,50.04,72.0,confirmed_bullish_trend,59.55,bullish_above_signal_proxy,56.8,45.61,10.33,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,EMA extension 2.1 ATR; MACD setup extended; MACD snapshot proxy; double-cross history unavailable
975,FENC,FENNEC PHARMACEUTICALS INC,NASDAQ+RUSSELL2000,Health Care,50.03,72.0,confirmed_bullish_trend,59.55,bullish_above_signal_proxy,58.03,46.86,10.9,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,EMA extension 2.2 ATR; MACD setup extended; MACD snapshot proxy; double-cross history unavailable
