early_signal_rank,ticker,name,index,sector,early_signal_score,ema_score,ema_state,macd_score,macd_state,cat_score,prism_score,overheat_penalty,technical_coverage,source_data,signal,risk
1755,DBI,DESIGNER BRANDS INC CLASS A,RUSSELL2000,Consumer Discretionary,26.3,15.0,bearish_transition,25.0,bearish_proxy,31.54,40.56,0.0,2,raw market data; independent of Prism ranking order,EMA: bearish_transition; MACD: bearish_proxy,MACD snapshot proxy; double-cross history unavailable
1756,NMAX,NEWSMAX INC CLASS B,RUSSELL2000,Communication,26.29,18.0,bearish_transition,26.35,bearish_proxy,27.78,39.81,0.0,2,raw market data; independent of Prism ranking order,EMA: bearish_transition; MACD: bearish_proxy,MACD snapshot proxy; double-cross history unavailable
1757,USGO,US GOLDMINING INC,NASDAQ+RUSSELL2000,Materials,26.26,15.0,bearish_transition,49.8,bullish_below_zero_proxy,12.64,36.78,0.0,2,raw market data; independent of Prism ranking order,EMA: bearish_transition; MACD: bullish_below_zero_proxy,MACD snapshot proxy; double-cross history unavailable
1758,GOGO,GOGO INC,NASDAQ+RUSSELL2000,Communication,26.25,15.0,bearish_transition,25.0,bearish_proxy,31.4,40.53,0.0,2,raw market data; independent of Prism ranking order,EMA: bearish_transition; MACD: bearish_proxy,MACD snapshot proxy; double-cross history unavailable
1759,CATX,PERSPECTIVE THERAPEUTICS INC,RUSSELL2000,Health Care,26.25,18.0,bearish_transition,26.35,bearish_proxy,27.18,40.69,0.0,2,raw market data; independent of Prism ranking order,EMA: bearish_transition; MACD: bearish_proxy,MACD snapshot proxy; double-cross history unavailable
1760,EPM,EVOLUTION PETROLEUM CORP,RUSSELL2000,Energy,26.23,15.0,bearish_transition,25.0,bearish_proxy,31.35,40.52,0.0,2,raw market data; independent of Prism ranking order,EMA: bearish_transition; MACD: bearish_proxy,MACD snapshot proxy; double-cross history unavailable
1761,CVI,CVR ENERGY INC,RUSSELL2000,Energy,26.2,15.0,bearish_transition,25.0,bearish_proxy,31.24,40.5,0.0,2,raw market data; independent of Prism ranking order,EMA: bearish_transition; MACD: bearish_proxy,MACD snapshot proxy; double-cross history unavailable
1762,LBRT,LIBERTY ENERGY INC CLASS A,RUSSELL2000,Energy,26.16,15.0,bearish_transition,25.0,bearish_proxy,31.11,40.47,0.0,2,raw market data; independent of Prism ranking order,EMA: bearish_transition; MACD: bearish_proxy,MACD snapshot proxy; double-cross history unavailable
1763,NNOX,NANO X IMAGING LTD,NASDAQ+RUSSELL2000,Health Care,26.12,18.0,bearish_transition,26.35,bearish_proxy,26.82,40.61,0.0,2,raw market data; independent of Prism ranking order,EMA: bearish_transition; MACD: bearish_proxy,MACD snapshot proxy; double-cross history unavailable
1764,RPD,RAPID7 INC,NASDAQ+RUSSELL2000,Information Technology,26.07,18.0,bearish_transition,26.35,bearish_proxy,27.11,39.67,0.0,2,raw market data; independent of Prism ranking order,EMA: bearish_transition; MACD: bearish_proxy,MACD snapshot proxy; double-cross history unavailable
1765,CMRC,BIGCOMMERCE HOLDINGS INC SERIES,NASDAQ+RUSSELL2000,Information Technology,26.05,18.0,bearish_transition,26.35,bearish_proxy,27.04,39.66,0.0,2,raw market data; independent of Prism ranking order,EMA: bearish_transition; MACD: bearish_proxy,MACD snapshot proxy; double-cross history unavailable
